metric_id,metric_label_human,variable_code_human,cond1_label_human,cond2_label_human,direction_human,cond1_mean_human,cond1_sd_human,cond1_n_human,cond2_mean_human,cond2_sd_human,cond2_n_human,effect_human,supports_direction_human,metric_label_model,variable_code_model,cond1_label_model,cond2_label_model,direction_model,cond1_mean_model,cond1_sd_model,cond1_n_model,cond2_mean_model,cond2_sd_model,cond2_n_model,effect_model,supports_direction_model,effect_abs_error,cond1_mean_abs_error,cond2_mean_abs_error,direction_match,run_name,run_label
trust_in_llm,Less trust in LLM,TGSender_raw,AgainstAI,AgainstHuman,less,0.595,0.4921238966441698,200,0.725,0.4476347667709808,200,-0.13,True,Less trust in LLM,TGSender_raw,AgainstAI,AgainstHuman,less,0.3888888888888889,0.4887337599340425,198,0.9848484848484848,0.1224650671116757,198,-0.595959595959596,True,0.465959595959596,0.206111111111111,0.2598484848484849,True,baseline_gpt_5_mini,Baseline
trustworthy_against_llm,Less trustworthy against LLM,TGReceiver_raw,AgainstAI,AgainstHuman,less,2.245,1.567565407417713,200,2.48,1.438731993369062,200,-0.2349999999999998,True,Less trustworthy against LLM,TGReceiver_raw,AgainstAI,AgainstHuman,less,1.6414141414141414,0.7658325619190224,198,2.4292929292929295,0.4962299543195309,198,-0.7878787878787881,True,0.5528787878787882,0.6035858585858587,0.0507070707070704,True,baseline_gpt_5_mini,Baseline
pd_against_llm,Less cooperation in PD,PD_raw,AgainstAI,AgainstHuman,less,0.475,0.5006277466376767,200,0.56,0.4976325863071806,200,-0.085,True,Less cooperation in PD,PD_raw,AgainstAI,AgainstHuman,less,0.2424242424242424,0.4296358767810758,198,0.8636363636363636,0.3440441907203717,198,-0.6212121212121212,True,0.5362121212121211,0.2325757575757575,0.3036363636363636,True,baseline_gpt_5_mini,Baseline
sh_against_llm,Less cooperation in SH,SH_raw,AgainstAI,AgainstHuman,less,0.685,0.4656815397698429,200,0.79,0.4083303421761706,200,-0.1049999999999999,True,Less cooperation in SH,SH_raw,AgainstAI,AgainstHuman,less,0.2727272727272727,0.4464907004035345,198,0.8383838383838383,0.3690314035326991,198,-0.5656565656565656,True,0.4606565656565656,0.4122727272727273,0.0483838383838383,True,baseline_gpt_5_mini,Baseline
coordination_against_llm,Less predictability in C,Earth,AgainstAI,AgainstHuman,less,0.58,0.4947970499134116,200,0.69,0.4636538303215657,200,-0.1099999999999999,True,Less predictability in C,Earth,AgainstAI,AgainstHuman,less,0.7878787878787878,0.4098465051966087,198,0.9949494949494948,0.0710669054518701,198,-0.207070707070707,True,0.097070707070707,0.2078787878787878,0.3049494949494949,True,baseline_gpt_5_mini,Baseline
ug_offer_against_llm,Lower offers against LLM,UGProposer_raw,AgainstAI,AgainstHuman,less,4.405,1.6748134224444198,200,4.715,1.183545053841365,200,-0.3099999999999996,True,Lower offers against LLM,UGProposer_raw,AgainstAI,AgainstHuman,less,3.419191919191919,0.6615129202749664,198,4.191919191919192,0.4432635699238984,198,-0.7727272727272729,True,0.4627272727272733,0.9858080808080812,0.5230808080808078,True,baseline_gpt_5_mini,Baseline
ug_threshold_against_llm,Tolerate less inequality,UGResponder_raw,AgainstAI,AgainstHuman,less,3.93,1.6396776248908935,200,4.02,1.619479412601221,200,-0.0899999999999994,True,Tolerate less inequality,UGResponder_raw,AgainstAI,AgainstHuman,less,2.1313131313131315,0.4862884324370919,198,2.8686868686868685,0.353272292458058,198,-0.737373737373737,True,0.6473737373737376,1.798686868686869,1.151313131313131,True,baseline_gpt_5_mini,Baseline
trust_in_llm,Less trust in LLM,TGSender_raw,AgainstAI,AgainstHuman,less,0.595,0.4921238966441698,200,0.725,0.4476347667709808,200,-0.13,True,Less trust in LLM,TGSender_raw,AgainstAI,AgainstHuman,less,0.3193717277486911,0.4674585521020184,191,0.9685863874345548,0.1748912191922877,191,-0.6492146596858639,True,0.5192146596858639,0.2756282722513088,0.2435863874345549,True,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
trustworthy_against_llm,Less trustworthy against LLM,TGReceiver_raw,AgainstAI,AgainstHuman,less,2.245,1.567565407417713,200,2.48,1.438731993369062,200,-0.2349999999999998,True,Less trustworthy against LLM,TGReceiver_raw,AgainstAI,AgainstHuman,less,1.6282722513089003,0.749060217672546,191,2.4973821989528795,0.5416771766296363,191,-0.869109947643979,True,0.6341099476439791,0.6167277486910996,0.0173821989528795,True,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
pd_against_llm,Less cooperation in PD,PD_raw,AgainstAI,AgainstHuman,less,0.475,0.5006277466376767,200,0.56,0.4976325863071806,200,-0.085,True,Less cooperation in PD,PD_raw,AgainstAI,AgainstHuman,less,0.1989528795811518,0.4002616944996987,191,0.9057591623036648,0.2929313276939803,191,-0.7068062827225131,True,0.621806282722513,0.2760471204188481,0.3457591623036649,True,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
