question_id,block_name,question_type,question_text_full,options_json,rows_json,csv_columns_json
QID184,Absolute vs. relative - jacket,MC,Imagine that you go to purchase a jacket for $250. The jacket salesperson informs you that the jacket you wish to buy is on sale for $240 at the other branch of the store which is ten minutes away by car. Would you drive to the other store?,"[""Yes"", ""No""]",[],"[""QID184""]"
QID192,Allais Form 1,MC,Choose between:,"[""One million dollars for sure"", ""89% probability of one million dollars 10% probablity of five miillion dollars 1% probability of nothing""]",[],"[""QID192""]"
QID163,Anchoring - African countries low ,MC,Do you think there are more or fewer than 12 African countries in the United Nations?,"[""more"", ""fewer""]",[],"[""QID163""]"
QID164,Anchoring - African countries low ,TE,How many African countries do you think are in the United Nations?,[],[],"[""QID164_TEXT""]"
QID167,Anchoring - redwood low,MC,Is the tallest redwood tree in the world more or less than 85 feet tall?,"[""more"", ""less""]",[],"[""QID167""]"
QID168,Anchoring - redwood low,TE,How tall do you think the tallest redwood tree in the world is? Enter a number of feet.,[],[],"[""QID168_TEXT""]"
QID156,Base-rate 70 engineers,Slider,"A panel of psychologist have interviewed and administered personality tests to 70 engineers and 30 lawyers, all successful in their respective fields. On the basis of this information, thumbnail descriptions of the 70 engineers and 30 lawyers have been written. Below is one description, chosen at random from the 100 available descriptions. Jack is a 45-year-old man. He is married and has four children. He is generally conservative, careful, and ambitious. He shows no interest in political and social issues and spends most of his free time on his many hobbies which include home carpentry, sailing, and mathematical puzzles. The probability that Jack is one of the 70 engineers in the sample of 100 is ___%. Please indicate the probability on a scale from 0 to 100.",[],[],"[""QID156""]"
QID158,Disease-loss,MC,"Imagine that the U.S. is preparing for the outbreak of an unusual disease, which is expected to kill 600 people. Two alternative programs to combat the disease have been proposed. Assume that the exact scientific estimate of the consequences of the programs are as follows: If Program A is adopted, 400 people will die. If Program B is adopted, there is 1/3 probability that nobody people will die, and 2/3 probability that 600 people be die. Which of the two programs would you favor?","[""I strongly favor program A"", ""I favor program A"", ""I slightly favor program A"", ""I slightly favor program B"", ""I favor program B"", ""I strongly favor program B""]",[],"[""QID158""]"
QID287,False consensus ,Matrix,Would you support or oppose...,[],"[""Placing a tax on carbon emissions?"", ""Ensuring 40% of all new clean energy infrastructure development spending goes to low-income communities?"", ""Federal investments to ensure a carbon-pollution free electricity sector by 2035?"", ""A ‘Medicare for All’ system in which all Americans would get healthcare from a government-run plan?"", ""A ‘public option’, which would allow Americans to buy into a government-run healthcare plan if they choose to do so?"", ""Immigration reforms that would provide a path to U.S. citizenship for undocumented immigrants currently in the United States?"", ""A law that requires companies to provide paid family leave for parents?"", ""A 2% tax on the assets of individuals with a net worth of more than $50 million?"", ""Increasing deportations for those in the US illegally?"", ""Offering seniors healthcare vouchers to purchase private healthcare plans in place of traditional medicare coverage?""]","[""QID287_1"", ""QID287_2"", ""QID287_3"", ""QID287_4"", ""QID287_5"", ""QID287_6"", ""QID287_7"", ""QID287_10"", ""QID287_11"", ""QID287_12""]"
QID173,Less is More Gamble C ,MC,"Please rate your level of disagreement or agreement with the following statement: ""I would find a game that had a 7/36 chance of winning $9 and a 29/36 chance of losing $0.25 extremely attractive.""","[""Disagree strongly"", ""Disagree a little"", ""Neither agree nor disagree"", ""Agree a little"", ""Agree strongly""]",[],"[""QID173""]"
QID160,Linda-conjunction,Matrix,"Linda is 31 years old, single, outspoken, and very bright. She majored in philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations. Please complete the statements below.",[],"[""It is ___ that Linda is a teacher in an elementary school"", ""It is ___ that Linda works in a bookstore and takes Yoga classes"", ""It is ___ that Linda is a bank teller and is active in the feminist movement""]","[""QID160_1"", ""QID160_2"", ""QID160_3""]"
QID195,Myside German,MC,"According to a comprehensive study by the U.S. Department of Transportation, a particular German car is 8 times more likely than a typical family car to kill occupants of another car in a crash. The U.S. Department of Transportation is considering recommending a ban on the sale of this German car. Do you think that the U.S. should ban the sale of the German car?","[""definitely no"", ""no"", ""probably no"", ""probably yes"", ""yes"", ""definitely yes""]",[],"[""QID195""]"
QID196,Non-experimental heuristics and biases ,MC,"Assume that you are presented with two trays of black and white marbles, a large tray that contains 100 marbles and a small tray that contains 10 marbles. The marbles are spread in a single layer in each tray. You must draw out one marble (without peeking, of course) from either tray. If you draw a black marble you win $2. Consider a condition in which the small tray contains 1 black marble and 9 white marbles, and the large tray contains 8 black marbles and 92 white marbles. From which tray would you prefer to select a marble in a real situation?","[""the small tray"", ""the large tray""]",[],"[""QID196""]"
QID288,Non-experimental heuristics and biases ,Matrix,"Please rate the following technology or products from ""not at all beneficial"" to ""extremely beneficial""",[],"[""bicycles"", ""alcoholic beverages"", ""chemical plants"", ""pesticides""]","[""QID288_1"", ""QID288_2"", ""QID288_3"", ""QID288_4""]"
QID289,Non-experimental heuristics and biases ,Matrix,"Please rate the following technology or products from ""not at all risky"" to ""extremely risky""",[],"[""bicycles"", ""alcoholic beverages"", ""chemical plants"", ""pesticides""]","[""QID289_1"", ""QID289_2"", ""QID289_3"", ""QID289_4""]"
QID290,Non-experimental heuristics and biases ,Slider,"What percentage of the public do you think supports the following policies? For each policy, choose a number from 0% to 100%.",[],[],"[""QID290_1"", ""QID290_2"", ""QID290_3"", ""QID290_4"", ""QID290_5"", ""QID290_6"", ""QID290_7"", ""QID290_10"", ""QID290_11"", ""QID290_12""]"
QID291,Non-experimental heuristics and biases ,MC,"Imagine that there will be a deadly flu going around your area next winter. Your doctor says that you have a 10% chance (10 out of 100) of dying from this flu. However, a new flu vaccine has been developed and tested. If taken, the vaccine prevents you from catching the deadly flu. However, there is one serious risk involved with taking this vaccine. The vaccine is made from a somewhat weaker type of flu virus, and there is a 5% (5 out of 100) risk of the vaccine causing you to die from the weaker type of flu. Imagine that this vaccine is completely covered by health insurance. If you had to decide now, which would you choose?","[""I would definitely not take the vaccine. I would thus accept the 10% chance of dying from this flu."", ""I would probably not take the vaccine. I would thus accept the 10% chance of dying from this flu."", ""I would probably take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine"", ""I would definitely take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine.""]",[],"[""QID291""]"
