persona_pid,source_record_id,persona_summary,num_backstory_statements,used_fields,backstory_sha1
argyle_anes2016_300477,300477,"Racially, I am hispanic. I like to discuss politics with my family and friends. Ideologically, I am conservative. Politically, I am a weak Republican. I attend church. I am 71 years old. I am a man. I am very interested in politics. It makes me feel extremely good to see the American flag. I am from New Mexico.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,156a315ea2bca037c00a7d9663d50cda8382be55
argyle_anes2016_300605,300605,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am extremely conservative. Politically, I am a strong Republican. I attend church. I am 57 years old. I am a woman. I am very interested in politics. It makes me feel extremely good to see the American flag. I am from Texas.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,e5e196340b53c8c2669cc6ec71ca6d6c281b98d3
argyle_anes2016_300610,300610,"Racially, I am hispanic. I like to discuss politics with my family and friends. Ideologically, I am liberal. Politically, I am a strong democrat. I do not attend church. I am 76 years old. I am a woman. I am somewhat interested in politics. It makes me feel neither good nor bad to see the American flag. I am from Texas.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,87235afedc481e78bef4a84c69359f6aa06928c3
argyle_anes2016_300935,300935,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am extremely liberal. Politically, I am an independent who leans Democratic. I do not attend church. I am 37 years old. I am a woman. I am very interested in politics. It makes me feel a little bad to see the American flag. I am from California.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,4e5147552e80f11a8a34d84c48600acceba59b59
argyle_anes2016_301373,301373,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am moderate. Politically, I am an independent. I attend church. I am 21 years old. I am a man. I am very interested in politics. It makes me feel extremely good to see the American flag. I am from Florida.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,27e1e5125799572b021209f0f32b806ff6dd94d1
argyle_anes2016_301465,301465,"Racially, I am white. I never discuss politics with my family or friends. Ideologically, I am slightly conservative. Politically, I am a weak Republican. I attend church. I am 27 years old. I am a woman. I am not very interested in politics. It makes me feel extremely good to see the American flag. I am from Michigan.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,3078079d34ee1cd60553e94fb88b1cc229ce5497
argyle_anes2016_302531,302531,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am extremely conservative. Politically, I am a strong Republican. I attend church. I am 30 years old. I am a woman. I am somewhat interested in politics. It makes me feel extremely good to see the American flag. I am from Tennessee.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,a198fe7e75f6c2a6d6cf8ff5d2adb4f053ec8a2a
argyle_anes2016_302615,302615,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am moderate. Politically, I am a weak Republican. I attend church. I am 29 years old. I am a woman. I am somewhat interested in politics. It makes me feel moderately good to see the American flag. I am from Oklahoma.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,ee16ce42ab663341f582de912f460c76cc492860
argyle_anes2016_302714,302714,"Racially, I am white. I never discuss politics with my family or friends. Ideologically, I am conservative. Politically, I am a strong Republican. I do not attend church. I am 54 years old. I am a woman. I am somewhat interested in politics. It makes me feel extremely good to see the American flag. I am from Florida.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,cdd99404d5d3838fabfa679fdd3e86f57815e77f
argyle_anes2016_400583,400583,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am conservative. Politically, I am an independent who leans Republican. I do not attend church. I am 66 years old. I am a man. I am somewhat interested in politics. It makes me feel extremely good to see the American flag. I am from North Carolina.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,82ffa348e5aae80706093200b20eab16d000ecc1
argyle_anes2016_401261,401261,"Racially, I am asian. I like to discuss politics with my family and friends. Ideologically, I am conservative. Politically, I am a weak Republican. I attend church. I am 46 years old. I am a man. I am not very interested in politics. It makes me feel neither good nor bad to see the American flag. I am from Illinois.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,891431cd9bde71b1bdde442d6d8aba8818da941d
argyle_anes2016_401512,401512,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am moderate. Politically, I am a strong democrat. I attend church. I am 57 years old. I am a woman. I am somewhat interested in politics. It makes me feel extremely good to see the American flag. I am from Florida.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,fd12d89de5374c9670f128c9b087041d4b9b6f91
argyle_anes2016_402210,402210,"Racially, I am hispanic. I never discuss politics with my family or friends. Ideologically, I am conservative. Politically, I am an independent who leans Republican. I attend church. I am 22 years old. I am a man. I am somewhat interested in politics. It makes me feel moderately good to see the American flag. I am from Florida.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,949ced8225994862a7400fcdb36c37a38aabc0eb
argyle_anes2016_402373,402373,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am conservative. Politically, I am a strong Republican. I attend church. I am 46 years old. I am a man. I am very interested in politics. It makes me feel extremely good to see the American flag. I am from Nevada.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,6c9aa82e8dfe496038e2b84ca80ec95c771abbe4
argyle_anes2016_403060,403060,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am slightly liberal. Politically, I am an independent who leans Democratic. I do not attend church. I am 25 years old. I am a man. I am somewhat interested in politics. It makes me feel moderately good to see the American flag. I am from North Carolina.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,f8a0fd38b217cd64c6871dd4466b9db145b13eb7
argyle_anes2016_403122,403122,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am slightly conservative. Politically, I am an independent who leans Republican. I attend church. I am 19 years old. I am a man. I am somewhat interested in politics. It makes me feel moderately good to see the American flag. I am from Florida.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,298561d4520533e7f51e07bbf6d6c70db18cbb9c
argyle_anes2016_403273,403273,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am liberal. Politically, I am a strong democrat. I do not attend church. I am 67 years old. I am a woman. I am somewhat interested in politics. It makes me feel extremely good to see the American flag. I am from Arizona.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,1e01e71285cbf4e6f918fd63f52a763603f22dff
argyle_anes2016_403401,403401,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am extremely liberal. Politically, I am a strong democrat. I do not attend church. I am 35 years old. I am a woman. I am somewhat interested in politics. It makes me feel neither good nor bad to see the American flag. I am from Louisiana.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,9934a842a78c6d8a7b8a0c596d33a9ccca344d28
argyle_anes2016_403578,403578,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am moderate. Politically, I am a strong democrat. I do not attend church. I am 53 years old. I am a woman. I am somewhat interested in politics. It makes me feel extremely good to see the American flag. I am from Pennsylvania.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,e46a65f2ba434ea790eb472b81cdb678304afc7b
argyle_anes2016_404039,404039,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am slightly conservative. Politically, I am a strong Republican. I do not attend church. I am 30 years old. I am a man. I am not very interested in politics. It makes me feel extremely good to see the American flag. I am from South Carolina.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,fa5fac94d5fb6beb47c01076fcf22cf60a89a4d9
argyle_anes2016_404174,404174,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am liberal. Politically, I am a strong democrat. I do not attend church. I am 45 years old. I am a man. I am very interested in politics. It makes me feel extremely good to see the American flag. I am from California.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,45d9d9ebc7c249a306f8fd0c1fa48590f5a0694a
argyle_anes2016_404451,404451,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am liberal. Politically, I am a strong democrat. I do not attend church. I am 27 years old. I am a woman. I am very interested in politics. It makes me feel extremely bad to see the American flag. I am from Pennsylvania.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,4d6479b57cb18f1e5b4da82a526fcde4f409fe22
argyle_anes2016_404780,404780,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am conservative. Politically, I am an independent. I attend church. I am 71 years old. I am a woman. I am very interested in politics. It makes me feel extremely good to see the American flag. I am from Alabama.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,14dbc9727508a90478aee998aff7146e02ee4499
argyle_anes2016_405352,405352,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am conservative. Politically, I am a strong Republican. I attend church. I am 55 years old. I am a woman. I am somewhat interested in politics. It makes me feel extremely good to see the American flag. I am from Indiana.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,6fffc8fe82ad448e89a652ba37824b4793c81cda
argyle_anes2016_405484,405484,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am conservative. Politically, I am an independent who leans Republican. I attend church. I am 72 years old. I am a man. I am very interested in politics. It makes me feel extremely good to see the American flag. I am from New York.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,1f406f37f00f5f2d528179e21b2942cf0f9698bb
argyle_anes2016_405805,405805,"Racially, I am black. I like to discuss politics with my family and friends. Ideologically, I am slightly liberal. Politically, I am a weak Democrat. I attend church. I am 19 years old. I am a man. I am somewhat interested in politics. It makes me feel neither good nor bad to see the American flag. I am from Florida.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,b1ec42cb468294df925326d3da4c39b5564627b8
argyle_anes2016_406144,406144,"Racially, I am hispanic. I like to discuss politics with my family and friends. Ideologically, I am slightly liberal. Politically, I am an independent who leans Democratic. I do not attend church. I am 68 years old. I am a man. I am somewhat interested in politics. It makes me feel neither good nor bad to see the American flag. I am from Pennsylvania.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,0b1c21c7a1b48c9d1fa3e0558c9c08a2ee53a298
argyle_anes2016_406457,406457,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am moderate. Politically, I am a weak Republican. I do not attend church. I am 43 years old. I am a woman. I am somewhat interested in politics. It makes me feel extremely good to see the American flag. I am from Massachusetts.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,8661c50f1330ba88401ec95943e71c5cb60d22ff
argyle_anes2016_406776,406776,"Racially, I am white. I never discuss politics with my family or friends. Ideologically, I am moderate. Politically, I am an independent. I attend church. I am 26 years old. I am a woman. I am not very interested in politics. It makes me feel extremely good to see the American flag. I am from Oregon.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,9cb84627ec95e24d3a20645f4d46ecbb3a26142a
argyle_anes2016_407154,407154,"Racially, I am hispanic. I like to discuss politics with my family and friends. Ideologically, I am slightly conservative. Politically, I am an independent who leans Republican. I attend church. I am 68 years old. I am a man. I am somewhat interested in politics. It makes me feel extremely good to see the American flag. I am from Florida.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,a856e1f3781827372bad664615d7a46690deb5a1
argyle_anes2016_407163,407163,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am moderate. Politically, I am an independent who leans Republican. I attend church. I am 35 years old. I am a woman. I am somewhat interested in politics. It makes me feel extremely good to see the American flag. I am from Michigan.",10,V161310x|V162174|V161126|V161158x|V161244|V161267|V161342|V162256|V162125x|V161010d,32b54bbb5dff241692639520c2cd9fd460e07b72
