custom_id,record_id,unit_id,treatment_name,chip_family,chip_family_display,cohort_name,stage_name,stage_code,experiment_name,data_source,round,turn_index,absolute_turn_index,sender_id,buy_color,buy_quantity,sell_color,sell_quantity,status,recipient_id,accepted_binary,num_acceptors,multiple_acceptors_binary,proposer_net_surplus,trade_ratio,group_total_welfare_before,group_total_welfare_after,group_surplus_before,group_surplus_after,group_surplus_ratio_before,group_surplus_ratio_after
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,0,0,0,buffalo-green-2230,BLUE,3,RED,4,DECLINED,,0,0,0,1.6999999999999997,1.3333333333333333,41.0,41.0,0.0,0.0,0.0,0.0
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,0,1,1,bear-green-5745,RED,3,GREEN,4,ACCEPTED,goose-green-3433,1,1,0,-0.20000000000000018,1.3333333333333333,41.0,42.5,0.0,1.5,0.0,0.07553956834532373
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,0,2,2,goose-green-3433,GREEN,3,BLUE,3,ACCEPTED,buffalo-green-2230,1,1,0,1.2,1.0,42.5,44.3,1.5,3.299999999999997,0.07553956834532373,0.16618705035971204
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,1,0,3,buffalo-green-2230,BLUE,4,GREEN,3,ACCEPTED,goose-green-3433,1,1,0,1.2999999999999998,0.75,44.3,46.7,3.299999999999997,5.700000000000003,0.16618705035971204,0.2870503597122303
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,1,1,4,bear-green-5745,RED,2,GREEN,2,ACCEPTED,buffalo-green-2230,1,2,1,0.19999999999999996,1.0,46.7,47.7,5.700000000000003,6.700000000000003,0.2870503597122303,0.3374100719424461
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,1,2,5,goose-green-3433,GREEN,2,BLUE,2,ACCEPTED,buffalo-green-2230,1,1,0,0.8,1.0,47.7,48.900000000000006,6.700000000000003,7.900000000000006,0.3374100719424461,0.39784172661870526
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,2,0,6,buffalo-green-2230,BLUE,2,GREEN,2,DECLINED,,0,0,0,0.3999999999999999,1.0,48.900000000000006,48.900000000000006,7.900000000000006,7.900000000000006,0.39784172661870526,0.39784172661870526
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,2,1,7,bear-green-5745,RED,2,GREEN,2,ACCEPTED,goose-green-3433,1,1,0,0.19999999999999996,1.0,48.900000000000006,49.9,7.900000000000006,8.899999999999999,0.39784172661870526,0.4482014388489207
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,2,2,8,goose-green-3433,GREEN,1,BLUE,1,ACCEPTED,buffalo-green-2230,1,1,0,0.4,1.0,49.9,50.5,8.899999999999999,9.5,0.4482014388489207,0.47841726618705027
chip_bargain__chip3_cohort_02_m8aiq8_game_1,chip3__cohort_02_m8aiq8__game_1,chip3__cohort_02_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 02-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,0,0,0,otter-blue-7516,RED,1,BLUE,2,DECLINED,,0,0,0,0.19999999999999996,2.0,61.0,61.0,0.0,0.0,0.0,0.0
